"Investigation.Type","Event.Date","Location","Country","Latitude","Longitude","Injury.Severity","Aircraft.damage","Total.Fatal.Injuries","Total.Serious.Injuries","Total.Minor.Injuries","Total.Uninjured"
"Accident","4/19/01","Fort Lauderdale, FL","United States","26.081945","-80.1325","Fatal(4)","Destroyed",4,1,NA,NA
"Accident","4/22/01","BRACKETTVILLE, TX","United States","29.533333","-100.3","Fatal(2)","Substantial",2,2,NA,NA
"Accident","4/22/01","White Water, CA","United States","33.816667","-116.5","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","4/26/01","Del Rio, TX","United States","29.389166","-100.942222","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","4/28/01","Middletown, RI","United States","41.523611","-71.283056","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","4/28/01","BAKER, CA","United States","35.197222","-116.078056","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","4/30/01","Casa Grande, AZ","United States","32.954722","-111.766945","Fatal(1)","Destroyed",1,2,NA,NA
"Accident","4/30/01","Afton, VA","United States","37.951111","-78.883889","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","5/1/01","The Woodlands, TX","United States","30.148889","-95.509444","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","5/5/01","STEAMBOAT SPNGS, CO","United States","40.456389","-106.877778","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","5/11/01","Gorst, WA","United States","47.466667","-122.702222","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","5/11/01","Gunnison, CO","United States","38.463889","-107.174723","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","5/12/01","NEW MARKET, VA","United States","38.635","-78.678889","Fatal(1)","Substantial",1,1,NA,NA
"Accident","5/12/01","DUNLAP, TN","United States","35.445277","-85.456667","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","5/13/01","JACKSON TWP., PA","United States","40.405556","-78.810833","Fatal(2)","Substantial",2,NA,NA,NA
"Accident","5/13/01","PENA POBRE, PR","United States","18.2625","-65.825278","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","5/13/01","Leakey, TX","United States","29.738611","-99.761111","Fatal(4)","Destroyed",4,NA,NA,NA
"Accident","5/14/01","San Jon, NM","United States","35.086944","-103.353611","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","5/18/01","Julian, CA","United States","32.995555","-116.659167","Fatal(2)","Destroyed",2,0,0,NA
"Accident","5/19/01","NORTH LAS VEGAS, NV","United States","36.211667","-115.195555","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","5/21/01","Danvers, MA","United States","42.585555","-70.924445","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","5/22/01","WILBUR, WA","United States","47.791666","-118.766667","Fatal(1)","Substantial",1,1,NA,NA
"Accident","5/24/01","Wichita Falls, TX","United States","33.947777","-98.615833","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","5/24/01","Alamogordo, NM","United States","32.759722","-105.807778","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","5/26/01","Pryor, OK","United States","36.220278","-95.313056","Fatal(1)","",1,NA,1,NA
"Accident","5/26/01","Pryor, OK","United States","36.220278","-95.313056","Fatal(1)","Destroyed",1,NA,1,NA
"Accident","5/28/01","Augusta, MT","United States","47.476389","-112.863333","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","5/29/01","Meeker, CO","United States","40.775","-107.369445","Fatal(4)","Destroyed",4,NA,NA,NA
"Accident","6/3/01","LYTLE CREEK, CA","United States","34.241389","-117.539722","Fatal(1)","Substantial",1,0,0,0
"Accident","6/3/01","JACKSON, TN","United States","35.495555","-88.903889","Fatal(5)","Destroyed",5,NA,NA,NA
"Accident","6/3/01","LYTLE CREEK, CA","United States","33.184444","-117.445277","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","6/4/01","Big Bear City, CA","United States","34.259722","-116.873611","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","6/6/01","Monroe, NC","United States","35.018056","-80.62","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","6/7/01","Perry, WV","United States","38.986666","-78.633889","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","6/10/01","Cerrillos, NM","United States","35.459444","-106.100556","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","6/13/01","Fort Lauderdale, FL","United States","26.067223","-80.15","Fatal(1)","Destroyed",1,2,NA,NA
"Accident","6/14/01","Fulton, KY","United States","36.514167","-88.721389","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","6/14/01","Lanai City, HI","United States","20.882778","-156.965","Fatal(1)","Destroyed",1,1,NA,NA
"Accident","6/15/01","Waveland, MS","United States","30.287777","-89.368611","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","6/16/01","NEWFANE, VT","United States","43.017223","-72.650833","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","6/16/01","FLAGSTAFF, AZ","United States","35.164444","-111.639166","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","6/16/01","LACONIA, NH","United States","43.5725","-71.418889","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","6/16/01","Manteo, NC","United States","35.920278","-75.697222","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","6/16/01","La Crosse, WI","United States","43.878889","-91.256667","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","6/22/01","GREENWICH, CT","United States","41.092222","-73.700556","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","6/24/01","McAlester, OK","United States","34.8725","-95.781111","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","6/25/01","KING SALMON, AK","United States","60","-156.715556","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","6/25/01","Lakeside, CA","United States","32.838333","-116.908889","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/2/01","Queen Anne, MD","United States","38.928334","-75.999722","Fatal(1)","Destroyed",1,1,NA,NA
"Accident","7/7/01","JACKPOT, NV","United States","41.982223","-114.663611","Fatal(2)","Substantial",2,NA,NA,NA
"Accident","7/7/01","SEBRING, FL","United States","27.460556","-81.348333","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","7/10/01","Medford, NJ","United States","39.948333","-74.8325","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","7/11/01","WEST LAFAYETTE, IN","United States","40.467778","-86.946666","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","7/11/01","Kissimmee, FL","United States","28.289722","-81.436944","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/12/01","RESACA, GA","United States","34.666667","-85.166667","Fatal(2)","Substantial",2,NA,NA,NA
"Accident","7/13/01","CARTERVILLE, MO","United States","37.154167","-94.434722","Fatal(6)","Destroyed",6,NA,NA,NA
"Accident","7/14/01","CAMERON PARK, CA","United States","38.15","-121","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/15/01","BETTLES, AK","United States","66.060833","-151.333333","Fatal(4)","Substantial",4,NA,NA,NA
"Accident","7/17/01","Oak Creek, WI","United States","42.947222","-87.896666","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/19/01","EDEN PRAIRIE, MN","United States","44.823334","-93.491389","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/20/01","Palm Springs, CA","United States","34.918056","-116.591111","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","7/21/01","CHENOA, IL","United States","40.715556","-88.763889","Fatal(2)","Substantial",2,NA,NA,NA
"Accident","7/21/01","Black Mountain, NC","United States","35.724167","-82.344444","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/21/01","Bamberg, SC","United States","33.305","-81.108889","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/22/01","Benton, IL","United States","38.006667","-88.948611","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","7/22/01","Ballard, MO","United States","38.434722","-94.109167","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","7/24/01","Anniston, AL","United States","33.716667","-85.879167","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","7/26/01","YAKUTAT, AK","United States","59.189722","-138.443055","Fatal(1)","Substantial",1,2,NA,NA
"Accident","7/26/01","Oshkosh, WI","United States","43.989444","-88.6025","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/28/01","Titusville, PA","United States","41.606111","-79.741944","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/28/01","Westfield, MA","United States","42.171389","-72.707222","Fatal(1)","Destroyed",1,2,NA,NA
"Accident","7/28/01","Pelham, GA","United States","31.121389","-84.126667","Fatal(1)","",1,NA,NA,1
"Accident","7/28/01","Esperance, NY","United States","42.801111","-74.260833","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","7/28/01","De Queen, AR","United States","33.976945","-94.241389","Fatal(4)","Destroyed",4,NA,NA,NA
"Accident","7/29/01","Puyallup, WA","United States","47.116667","-122.283333","Fatal(6)","Destroyed",6,NA,NA,NA
"Accident","7/30/01","Henefer, UT","United States","41.028611","-111.386944","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","7/30/01","Haines, AK","United States","59.066667","-135.783333","Fatal(6)","Destroyed",6,NA,NA,NA
"Accident","7/31/01","XENIA, OH","United States","39.646944","-83.854722","Fatal(2)","Substantial",2,NA,NA,NA
"Accident","7/31/01","St. Marys, GA","United States","30.728334","-81.288333","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","8/1/01","Hilton Head, SC","United States","32.164722","-80.733611","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","8/1/01","Baltimore, MD","United States","39.184722","-76.6775","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","8/3/01","Lusk, WY","United States","42.991944","-104.363611","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","8/5/01","Sedgwick, ME","United States","44.351111","-68.661944","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","8/5/01","Weaverville, CA","United States","40.745555","-122.921945","Fatal(1)","Destroyed",1,2,1,NA
"Accident","8/9/01","TYONEK, AK","United States","61.385277","-151.389166","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","8/10/01","Meadview, AZ","United States","35.988611","-113.983333","Fatal(6)","Destroyed",6,1,NA,NA
"Accident","8/11/01","Rohrersville, MD","United States","39.445833","-77.633333","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","8/12/01","Boulder City, NV","United States","35.95","-114.85","Fatal(2)","Destroyed",2,NA,NA,NA
